name,id,email,gender,birthdate,role
Hui Xin a/p Chai,S2025474889,hui.xin.chai@student.gmi.edu.my,Female,2006-07-15,student
Yasmin binti Mansor,S2025019810,yasmin.mansor@student.gmi.edu.my,Female,2001-05-11,student
Luqman bin Noor,S2025615016,luqman.noor@student.gmi.edu.my,Male,2000-08-24,student
Yan Yi a/p Yap,S2025482444,yan.yi.yap@student.gmi.edu.my,Female,2004-03-23,student
Li Wei a/p Pang,S2025500889,li.wei.pang@student.gmi.edu.my,Female,2005-06-27,student
Ahmad bin Zainal,S2025132117,ahmad.zainal@student.gmi.edu.my,Male,2004-07-26,student
Ramesh a/l Muthu,S2025211596,ramesh.muthu2@student.gmi.edu.my,Male,2006-10-25,student
Lakshmi a/p Venkatesh,S2025054621,lakshmi.venkatesh2@student.gmi.edu.my,Female,2006-06-15,student
Talha bin Talib,T2025962690,talha.talib@tto.gmi.edu.my,Male,1991-05-27,TTO
Mani a/l Rangasamy,S2025214577,mani.rangasamy@student.gmi.edu.my,Male,2004-09-25,student
Wei Han a/l Chin,S2025913931,wei.han.chin@student.gmi.edu.my,Male,2001-01-10,student
Arun a/l Venkatesh,S2025627748,arun.venkatesh@student.gmi.edu.my,Male,2001-09-30,student
Lakshmi a/p Krishnan,T2025916626,lakshmi.krishnan@tto.gmi.edu.my,Female,1993-03-05,TTO
Arun a/l Balakrishnan,T2025756764,arun.balakrishnan@tto.gmi.edu.my,Male,1992-06-25,TTO
Ridwan bin Ali,S2025722771,ridwan.ali@student.gmi.edu.my,Male,2004-07-31,student
Shalini a/p Murugan,T2025574176,shalini.murugan@tto.gmi.edu.my,Female,1978-06-14,TTO
Nalini a/p Muthu,S2025541533,nalini.muthu@student.gmi.edu.my,Female,2002-03-26,student
Qistina binti Yaacob,T2025834675,qistina.yaacob@tto.gmi.edu.my,Female,1989-12-19,TTO
Zhi Yang a/l Yeo,S2025218223,zhi.yang.yeo@student.gmi.edu.my,Male,2000-07-28,student
Asya a/p Venkatesh,S2025183001,asya.venkatesh@student.gmi.edu.my,Female,2006-04-12,student
Divya a/p Subramaniam,S2025348645,divya.subramaniam@student.gmi.edu.my,Female,2006-03-14,student
Anusha a/p Perumal,S2025214656,anusha.perumal@student.gmi.edu.my,Female,2003-03-31,student
Iqbal bin Hussein,S2025246679,iqbal.hussein@student.gmi.edu.my,Male,2001-03-18,student
Kai Wen a/l Koh,S2025158220,kai.wen.koh@student.gmi.edu.my,Male,2006-06-21,student
Priya a/p Muthu,S2025536840,priya.muthu@student.gmi.edu.my,Female,2006-11-23,student
Suresh a/l Balakrishnan,S2025152181,suresh.balakrishnan@student.gmi.edu.my,Male,2007-02-16,student
Suresh a/l Murugan,T2025513990,suresh.murugan@tto.gmi.edu.my,Male,1981-02-10,TTO
Jia Hao a/l Teh,S2025985482,jia.hao.teh@student.gmi.edu.my,Male,2000-02-07,student
Han Bin a/l Chai,S2025297153,han.chai3@student.gmi.edu.my,Male,2000-03-17,student
Karthik a/l Muthu,S2025751838,karthik.muthu@student.gmi.edu.my,Male,2003-02-23,student
Fatin binti Latif,S2025560049,fatin.latif@student.gmi.edu.my,Female,2000-03-27,student
Jun Wei a/l Tan,S2025826107,jun.wei.tan@student.gmi.edu.my,Male,2007-10-05,student
Safwan bin Fauzi,S2025198586,safwan.fauzi@student.gmi.edu.my,Male,2003-09-17,student
Ming Jie a/l Lee,S2025138731,ming.jie.lee@student.gmi.edu.my,Male,2003-01-25,student
Mani a/l Perumal,F2025358966,mani.perumal@staff.gmi.edu.my,Male,1992-07-16,staff
Khairi bin Osman,T2025111005,khairi.osman@tto.gmi.edu.my,Male,1980-11-01,TTO
Prakash a/l Murugan,S2025608767,prakash.murugan@student.gmi.edu.my,Male,2001-11-27,student
Ai Ling a/p Chai,S2025410129,ai.ling.chai@student.gmi.edu.my,Female,2003-09-18,student
Arun a/l Murugan,S2025371377,arun.murugan@student.gmi.edu.my,Male,2004-02-10,student
Azlan bin Omar,T2025537063,azlan.omar@tto.gmi.edu.my,Male,1991-03-15,TTO
Raja a/l Balakrishnan,S2025032022,raja.balakrishnan@student.gmi.edu.my,Male,2001-12-06,student
Batrisyia binti Sulaiman,S2025851822,batrisyia.sulaiman@student.gmi.edu.my,Female,2005-10-24,student
Umaira binti Sani,S2025432848,umaira.sani@student.gmi.edu.my,Female,2003-09-23,student
Mira a/p Balakrishnan,T2025929129,mira.balakrishnan@tto.gmi.edu.my,Female,1984-05-04,TTO
Karthik a/l Muthu,S2025634570,karthik.muthu2@student.gmi.edu.my,Male,2001-01-17,student
Rafiq bin Razak,S2025320415,rafiq.razak@student.gmi.edu.my,Male,2001-08-03,student
Asya a/p Muthu,S2025738476,asya.muthu@student.gmi.edu.my,Female,2002-07-27,student
Arif bin Talib,S2025837987,arif.talib@student.gmi.edu.my,Male,2005-08-17,student
Xin Yi a/p Yeo,S2025326222,xin.yi.yeo@student.gmi.edu.my,Female,2002-05-28,student
Lakshmi a/p Balakrishnan,S2025873225,lakshmi.balakrishnan@student.gmi.edu.my,Female,2005-04-10,student
Murali a/l Venkatesh,S2025547894,murali.venkatesh@student.gmi.edu.my,Male,2002-07-19,student
Jasmine binti Sabri,S2025453552,jasmine.sabri@student.gmi.edu.my,Female,2005-03-30,student
Nisa binti Basir,S2025312043,nisa.basir@student.gmi.edu.my,Female,2007-05-07,student
Nadhirah binti Omar,S2025229264,nadhirah.omar@student.gmi.edu.my,Female,2000-05-03,student
Alya binti Ibrahim,S2025666856,alya.ibrahim2@student.gmi.edu.my,Female,2002-03-31,student
Wei Han a/l Pang,T2025734019,wei.han.pang@tto.gmi.edu.my,Male,1991-11-25,TTO
Xin Yi a/p Teh,S2025022415,xin.yi.teh@student.gmi.edu.my,Female,2005-06-19,student
Fatin binti Kamal,S2025031256,fatin.kamal@student.gmi.edu.my,Female,2005-06-13,student
Prakash a/l Murugan,T2025821437,prakash.murugan@tto.gmi.edu.my,Male,1976-02-19,TTO
Deepa a/p Gopal,S2025405765,deepa.gopal2@student.gmi.edu.my,Female,2002-06-01,student
Mariam binti Talib,S2025884741,mariam.talib@student.gmi.edu.my,Female,2002-11-22,student
Syafiq bin Kamal,S2025107160,syafiq.kamal@student.gmi.edu.my,Male,2002-09-28,student
Kamil bin Mansor,S2025621554,kamil.mansor@student.gmi.edu.my,Male,2002-11-08,student
Jia Hao a/l Lim,S2025703983,jia.hao.lim@student.gmi.edu.my,Male,2004-09-27,student
Danish bin Mahmud,S2025018823,danish.mahmud@student.gmi.edu.my,Male,2002-10-05,student
Qin Yi a/p Chong,S2025130796,qin.yi.chong@student.gmi.edu.my,Female,2002-09-06,student
Irdina binti Shah,S2025671478,irdina.shah@student.gmi.edu.my,Female,2005-02-10,student
Azlan bin Jamal,S2025274365,azlan.jamal@student.gmi.edu.my,Male,2002-05-28,student
Priya a/p Perumal,S2025607102,priya.perumal@student.gmi.edu.my,Female,2007-03-21,student
Ming Jie a/l Yap,S2025380850,ming.jie.yap@student.gmi.edu.my,Male,2000-07-22,student
Zhi Yang a/l Koh,S2025301066,zhi.yang.koh@student.gmi.edu.my,Male,2003-11-18,student
Iman binti Zainal,S2025596763,iman.zainal@student.gmi.edu.my,Female,2007-05-25,student
Kavita a/p Krishnan,S2025523790,kavita.krishnan@student.gmi.edu.my,Female,2003-12-03,student
Rafiq bin Rahim,S2025191158,rafiq.rahim2@student.gmi.edu.my,Male,2006-10-24,student
Jia Hao a/l Ng,T2025786823,jia.hao.ng@tto.gmi.edu.my,Male,1990-05-08,TTO
Priya a/p Raman,S2025252445,priya.raman3@student.gmi.edu.my,Female,2005-10-03,student
Wei Han a/l Yap,S2025604639,wei.han.yap@student.gmi.edu.my,Male,2007-05-04,student
Ai Ling a/p Tan,S2025744402,ai.ling.tan@student.gmi.edu.my,Female,2005-10-06,student
Anita a/p Venkatesh,S2025516610,anita.venkatesh2@student.gmi.edu.my,Female,2002-02-06,student
Vijay a/l Raman,S2025057900,vijay.raman@student.gmi.edu.my,Male,2005-07-14,student
Lina binti Jamal,T2025939852,lina.jamal@tto.gmi.edu.my,Female,1989-12-28,TTO
Izzat bin Zaki,S2025646130,izzat.zaki@student.gmi.edu.my,Male,2007-09-27,student
Ramesh a/l Subramaniam,S2025418403,ramesh.subramaniam@student.gmi.edu.my,Male,2003-11-10,student
Kumar a/l Raman,S2025758890,kumar.raman@student.gmi.edu.my,Male,2000-08-19,student
Siti binti Kamal,F2025298823,siti.kamal@staff.gmi.edu.my,Female,1982-03-02,staff
Karthik a/l Perumal,S2025908112,karthik.perumal2@student.gmi.edu.my,Male,2003-01-24,student
Xue Ting a/p Low,S2025417973,xue.ting.low@student.gmi.edu.my,Female,2002-05-18,student
Jia Yi a/p Low,S2025197242,jia.yi.low@student.gmi.edu.my,Female,2000-04-28,student
Saravanan a/l Gopal,S2025574085,saravanan.gopal@student.gmi.edu.my,Male,2003-07-22,student
Nalini a/p Balakrishnan,S2025265274,nalini.balakrishnan@student.gmi.edu.my,Female,2003-06-18,student
Umaira binti Hussein,S2025100482,umaira.hussein@student.gmi.edu.my,Female,2002-06-02,student
Liang a/l Low,S2025387061,liang.low@student.gmi.edu.my,Male,2006-06-26,student
Nisa binti Noor,S2025544762,nisa.noor@student.gmi.edu.my,Female,2003-06-24,student
Ai Ling a/p Chia,S2025748855,ai.ling.chia@student.gmi.edu.my,Female,2005-06-22,student
Prakash a/l Murugan,T2025296417,prakash.murugan2@tto.gmi.edu.my,Male,1984-07-01,TTO
Jia Yi a/p Teh,S2025232129,jia.yi.teh@student.gmi.edu.my,Female,2005-03-22,student
Irdina binti Majid,S2025464775,irdina.majid@student.gmi.edu.my,Female,2006-04-25,student
Liang a/l Chai,S2025504360,liang.chai@student.gmi.edu.my,Male,2002-01-08,student
Kumar a/l Subramaniam,T2025492338,kumar.subramaniam@tto.gmi.edu.my,Male,1994-04-12,TTO
Saravanan a/l Balakrishnan,S2025547562,saravanan.balakrishnan@student.gmi.edu.my,Male,2000-07-28,student
Anita a/p Balakrishnan,S2025274912,anita.balakrishnan@student.gmi.edu.my,Female,2000-10-08,student
Izzah binti Saad,S2025176033,izzah.saad@student.gmi.edu.my,Female,2005-05-10,student
Raja a/l Rangasamy,T2025720676,raja.rangasamy@tto.gmi.edu.my,Male,1995-07-11,TTO
Arif bin Salim,S2025472634,arif.salim@student.gmi.edu.my,Male,2003-11-30,student
Hui Xin a/p Yeo,S2025664055,hui.xin.yeo@student.gmi.edu.my,Female,2002-05-30,student
Shalini a/p Muthu,S2025734409,shalini.muthu@student.gmi.edu.my,Female,2004-09-19,student
Arun a/l Venkatesh,S2025273739,arun.venkatesh2@student.gmi.edu.my,Male,2007-05-14,student
Kavita a/p Raman,T2025014657,kavita.raman@tto.gmi.edu.my,Female,1985-04-03,TTO
Yee Ling a/p Chong,S2025265720,yee.ling.chong@student.gmi.edu.my,Female,2000-01-26,student
Khadijah binti Kamal,S2025239287,khadijah.kamal@student.gmi.edu.my,Female,2004-10-12,student
Liang a/l Lee,S2025807009,liang.lee@student.gmi.edu.my,Male,2005-12-01,student
Thaqif bin Zaki,S2025306337,thaqif.zaki@student.gmi.edu.my,Male,2007-12-31,student
Nurul binti Aziz,S2025862734,nurul.aziz@student.gmi.edu.my,Female,2003-11-07,student
Murali a/l Gopal,S2025637721,murali.gopal@student.gmi.edu.my,Male,2001-12-04,student
Xue Ting a/p Chai,S2025053999,xue.ting.chai@student.gmi.edu.my,Female,2002-12-29,student
Vijay a/l Venkatesh,S2025555280,vijay.venkatesh2@student.gmi.edu.my,Male,2004-05-07,student
Khairul bin Fauzi,S2025790992,khairul.fauzi@student.gmi.edu.my,Male,2007-05-30,student
Murali a/l Raman,S2025505316,murali.raman2@student.gmi.edu.my,Male,2002-07-08,student
Maisarah binti Mansor,S2025335859,maisarah.mansor@student.gmi.edu.my,Female,2004-02-02,student
Batrisyia binti Azman,S2025854606,batrisyia.azman@student.gmi.edu.my,Female,2004-04-07,student
Khai Ming a/l Chong,S2025700231,khai.ming.chong@student.gmi.edu.my,Male,2000-09-02,student
Mira a/p Gopal,S2025348195,mira.gopal@student.gmi.edu.my,Female,2005-08-21,student
Han Bin a/l Yeo,S2025327353,han.yeo@student.gmi.edu.my,Male,2004-01-25,student
Sarimah binti Mansor,S2025936414,sarimah.mansor@student.gmi.edu.my,Female,2001-02-18,student
Zhi Yang a/l Tee,S2025834573,zhi.yang.tee@student.gmi.edu.my,Male,2005-05-23,student
Karthik a/l Perumal,S2025575420,karthik.perumal3@student.gmi.edu.my,Male,2001-08-23,student
Kavita a/p Raman,S2025619667,kavita.raman@student.gmi.edu.my,Female,2000-08-31,student
Zafran bin Nasir,T2025299615,zafran.nasir@tto.gmi.edu.my,Male,1980-12-14,TTO
Arun a/l Rangasamy,S2025507418,arun.rangasamy3@student.gmi.edu.my,Male,2006-06-26,student
Divya a/p Raman,S2025020956,divya.raman@student.gmi.edu.my,Female,2003-12-05,student
Saravanan a/l Rangasamy,S2025145159,saravanan.rangasamy@student.gmi.edu.my,Male,2001-09-22,student
Liang a/l Teh,S2025231201,liang.teh@student.gmi.edu.my,Male,2007-08-02,student
Vijay a/l Perumal,T2025269084,vijay.perumal@tto.gmi.edu.my,Male,1985-11-21,TTO
Lakshmi a/p Perumal,S2025908800,lakshmi.perumal2@student.gmi.edu.my,Female,2001-06-07,student
Aina binti Hussein,S2025431427,aina.hussein@student.gmi.edu.my,Female,2007-07-03,student
Siti binti Zaki,S2025994428,siti.zaki@student.gmi.edu.my,Female,2002-06-16,student
Latifah binti Zain,S2025822735,latifah.zain@student.gmi.edu.my,Female,2006-08-28,student
Lina binti Hussein,S2025426822,lina.hussein@student.gmi.edu.my,Female,2003-03-20,student
Pei Wen a/p Tee,S2025201634,pei.wen.tee@student.gmi.edu.my,Female,2000-11-30,student
Zhi Yang a/l Phang,F2025014653,zhi.yang.phang@staff.gmi.edu.my,Male,1970-04-09,staff
Wei Han a/l Tan,F2025233066,wei.han.tan@staff.gmi.edu.my,Male,1980-12-09,staff
Farhan bin Ridzuan,S2025798377,farhan.ridzuan@student.gmi.edu.my,Male,2001-05-08,student
Azlan bin Sani,S2025203993,azlan.sani@student.gmi.edu.my,Male,2000-10-30,student
Mira a/p Balakrishnan,S2025379662,mira.balakrishnan@student.gmi.edu.my,Female,2000-10-12,student
Liang a/l Phang,S2025256107,liang.phang@student.gmi.edu.my,Male,2006-05-20,student
Yan Yi a/p Tan,S2025926022,yan.yi.tan@student.gmi.edu.my,Female,2000-02-18,student
Vijay a/l Raman,S2025382991,vijay.raman2@student.gmi.edu.my,Male,2000-11-25,student
Meera a/p Venkatesh,S2025236207,meera.venkatesh@student.gmi.edu.my,Female,2006-01-22,student
Mei Ling a/p Tee,S2025963128,mei.ling.tee2@student.gmi.edu.my,Female,2000-06-30,student
Lakshmi a/p Raman,S2025992703,lakshmi.raman@student.gmi.edu.my,Female,2000-06-14,student
Xue Ting a/p Tan,F2025465674,xue.ting.tan@staff.gmi.edu.my,Female,1998-05-05,staff
Liang a/l Koh,S2025599321,liang.koh@student.gmi.edu.my,Male,2007-05-07,student
Raja a/l Perumal,S2025266972,raja.perumal@student.gmi.edu.my,Male,2006-08-04,student
Yee Ling a/p Lim,S2025618999,yee.ling.lim@student.gmi.edu.my,Female,2000-11-27,student
Shalini a/p Krishnan,S2025910521,shalini.krishnan@student.gmi.edu.my,Female,2005-05-13,student
Zi Hao a/l Lim,S2025471888,zi.hao.lim@student.gmi.edu.my,Male,2001-11-01,student
Anand a/l Krishnan,S2025128445,anand.krishnan@student.gmi.edu.my,Male,2007-10-31,student
Anand a/l Raman,S2025920956,anand.raman@student.gmi.edu.my,Male,2002-10-05,student
Meera a/p Rangasamy,S2025071327,meera.rangasamy@student.gmi.edu.my,Female,2002-09-11,student
Liang a/l Chen,S2025247064,liang.chen@student.gmi.edu.my,Male,2001-05-04,student
Wei Han a/l Chin,S2025607412,wei.han.chin2@student.gmi.edu.my,Male,2004-02-13,student
Li Wei a/p Phang,S2025104776,li.wei.phang@student.gmi.edu.my,Female,2005-07-30,student
Li Wei a/p Wong,S2025018767,li.wei.wong@student.gmi.edu.my,Female,2006-05-19,student
Yee Ling a/p Koh,S2025387138,yee.ling.koh@student.gmi.edu.my,Female,2006-03-12,student
Khai Ming a/l Teh,S2025141403,khai.ming.teh@student.gmi.edu.my,Male,2004-11-29,student
Azlan bin Yusof,S2025478893,azlan.yusof@student.gmi.edu.my,Male,2001-08-31,student
Hao a/l Ng,S2025939744,hao.ng2@student.gmi.edu.my,Male,2002-05-24,student
Harith bin Saad,S2025157290,harith.saad@student.gmi.edu.my,Male,2003-12-13,student
Murali a/l Rangasamy,S2025372301,murali.rangasamy2@student.gmi.edu.my,Male,2001-07-20,student
Karthik a/l Muthu,S2025525851,karthik.muthu3@student.gmi.edu.my,Male,2006-08-18,student
Mira a/p Perumal,S2025250869,mira.perumal@student.gmi.edu.my,Female,2002-06-11,student
Li Wei a/p Lim,S2025577668,li.wei.lim@student.gmi.edu.my,Female,2002-10-14,student
Zi Ying a/p Chai,S2025521700,zi.ying.chai@student.gmi.edu.my,Female,2004-05-17,student
Ming Jie a/l Koh,S2025836086,ming.jie.koh@student.gmi.edu.my,Male,2007-03-18,student
Shafiqah binti Azman,S2025745724,shafiqah.azman@student.gmi.edu.my,Female,2005-05-05,student
Raja a/l Venkatesh,S2025213198,raja.venkatesh@student.gmi.edu.my,Male,2001-07-26,student
Batrisyia binti Kamal,S2025682937,batrisyia.kamal@student.gmi.edu.my,Female,2000-06-17,student
Ridwan bin Jamil,S2025515481,ridwan.jamil@student.gmi.edu.my,Male,2001-04-16,student
Jia Hao a/l Tee,S2025148387,jia.hao.tee2@student.gmi.edu.my,Male,2004-12-15,student
Kumar a/l Krishnan,S2025528122,kumar.krishnan3@student.gmi.edu.my,Male,2002-01-17,student
Sarimah binti Ridzuan,S2025957995,sarimah.ridzuan@student.gmi.edu.my,Female,2006-03-24,student
Divya a/p Krishnan,S2025785991,divya.krishnan@student.gmi.edu.my,Female,2007-01-21,student
Hui Xin a/p Yap,S2025142339,hui.xin.yap@student.gmi.edu.my,Female,2006-10-05,student
Kavita a/p Raman,S2025361161,kavita.raman2@student.gmi.edu.my,Female,2003-05-05,student
Safwan bin Omar,S2025489452,safwan.omar@student.gmi.edu.my,Male,2005-02-10,student
Khai Ming a/l Tan,S2025707758,khai.ming.tan@student.gmi.edu.my,Male,2002-02-02,student
Khairi bin Yahya,S2025440873,khairi.yahya@student.gmi.edu.my,Male,2004-01-17,student
Muaz bin Othman,S2025371747,muaz.othman@student.gmi.edu.my,Male,2007-08-05,student
Khairi bin Kassim,S2025764830,khairi.kassim@student.gmi.edu.my,Male,2000-10-04,student
Zarina binti Aziz,S2025334403,zarina.aziz@student.gmi.edu.my,Female,2003-05-24,student
Xin Yi a/p Phang,S2025079599,xin.yi.phang@student.gmi.edu.my,Female,2003-05-12,student
Yasmin binti Sulaiman,S2025808669,yasmin.sulaiman@student.gmi.edu.my,Female,2005-10-31,student
Anusha a/p Balakrishnan,S2025470069,anusha.balakrishnan@student.gmi.edu.my,Female,2004-03-20,student
Khai Ming a/l Tan,S2025948043,khai.ming.tan2@student.gmi.edu.my,Male,2005-01-13,student
Lakshmi a/p Krishnan,S2025467336,lakshmi.krishnan@student.gmi.edu.my,Female,2006-01-21,student
Xin Yi a/p Tee,S2025691178,xin.yi.tee2@student.gmi.edu.my,Female,2004-01-28,student
Deepa a/p Raman,S2025248196,deepa.raman@student.gmi.edu.my,Female,2004-04-05,student
Wei Han a/l Chai,S2025254260,wei.han.chai@student.gmi.edu.my,Male,2001-06-01,student
Hui Xin a/p Ng,S2025107295,hui.xin.ng@student.gmi.edu.my,Female,2000-01-24,student
Priya a/p Krishnan,S2025213596,priya.krishnan@student.gmi.edu.my,Female,2001-01-13,student
Maisarah binti Yusof,S2025001955,maisarah.yusof@student.gmi.edu.my,Female,2002-07-28,student
Luqman bin Nawawi,F2025129675,luqman.nawawi@staff.gmi.edu.my,Male,1973-04-06,staff
Priya a/p Balakrishnan,T2025632765,priya.balakrishnan@tto.gmi.edu.my,Female,1993-11-27,TTO
Mira a/p Muthu,S2025206685,mira.muthu@student.gmi.edu.my,Female,2002-02-22,student
Yee Ling a/p Ng,S2025308816,yee.ling.ng@student.gmi.edu.my,Female,2000-07-10,student
Zhi Yang a/l Yap,S2025586174,zhi.yang.yap@student.gmi.edu.my,Male,2005-06-15,student
Han Bin a/l Yap,F2025178202,han.yap@staff.gmi.edu.my,Male,1996-05-28,staff
Divya a/p Rangasamy,S2025908648,divya.rangasamy@student.gmi.edu.my,Female,2002-06-14,student
Nurul binti Yahya,S2025265302,nurul.yahya@student.gmi.edu.my,Female,2003-05-25,student
Maryam binti Yaacob,S2025811521,maryam.yaacob@student.gmi.edu.my,Female,2004-04-10,student
Anita a/p Muthu,S2025619295,anita.muthu2@student.gmi.edu.my,Female,2003-01-09,student
Liang a/l Goh,S2025522001,liang.goh@student.gmi.edu.my,Male,2003-11-20,student
Mani a/l Perumal,S2025722745,mani.perumal3@student.gmi.edu.my,Male,2007-05-04,student
Talha bin Yusof,S2025772646,talha.yusof@student.gmi.edu.my,Male,2007-12-22,student
Ming Jie a/l Phang,F2025309553,ming.jie.phang@staff.gmi.edu.my,Male,1980-02-06,staff
Johari bin Halim,S2025672888,johari.halim@student.gmi.edu.my,Male,2004-08-20,student
Murali a/l Murugan,S2025208234,murali.murugan@student.gmi.edu.my,Male,2003-09-17,student
Jun Wei a/l Teh,S2025895358,jun.wei.teh@student.gmi.edu.my,Male,2006-02-06,student
Liang a/l Liew,S2025958579,liang.liew@student.gmi.edu.my,Male,2007-12-22,student
Ming Jie a/l Yeo,S2025571627,ming.jie.yeo@student.gmi.edu.my,Male,2004-08-08,student
Nurul binti Hashim,S2025397405,nurul.hashim@student.gmi.edu.my,Female,2004-04-14,student
Mani a/l Balakrishnan,T2025742350,mani.balakrishnan@tto.gmi.edu.my,Male,1989-06-17,TTO
Haikal bin Talib,S2025110626,haikal.talib@student.gmi.edu.my,Male,2007-07-18,student
Dina binti Rashid,S2025830336,dina.rashid@student.gmi.edu.my,Female,2004-02-12,student
Mei Ling a/p Tee,T2025388157,mei.ling.tee@tto.gmi.edu.my,Female,1979-01-03,TTO
Anusha a/p Raman,S2025151366,anusha.raman@student.gmi.edu.my,Female,2004-12-21,student
Khai Ming a/l Low,S2025851113,khai.ming.low@student.gmi.edu.my,Male,2007-09-09,student
Divya a/p Raman,T2025975176,divya.raman@tto.gmi.edu.my,Female,1979-07-14,TTO
Hasif bin Halim,S2025846719,hasif.halim@student.gmi.edu.my,Male,2002-11-15,student
Ramesh a/l Perumal,S2025287712,ramesh.perumal@student.gmi.edu.my,Male,2004-11-06,student
Fatin binti Razali,S2025621725,fatin.razali@student.gmi.edu.my,Female,2007-02-24,student
Asya a/p Krishnan,S2025101481,asya.krishnan@student.gmi.edu.my,Female,2005-02-01,student
Izzah binti Bakar,S2025348663,izzah.bakar@student.gmi.edu.my,Female,2001-02-15,student
Zara binti Bakar,S2025840126,zara.bakar@student.gmi.edu.my,Female,2001-07-19,student
Iman binti Aziz,S2025748899,iman.aziz@student.gmi.edu.my,Female,2000-10-27,student
Arun a/l Krishnan,F2025194345,arun.krishnan@staff.gmi.edu.my,Male,1984-04-06,staff
Mei Ling a/p Lee,S2025317570,mei.ling.lee@student.gmi.edu.my,Female,2003-06-29,student
Hafiz bin Yusof,S2025680213,hafiz.yusof@student.gmi.edu.my,Male,2007-02-11,student
Nurul binti Hussein,S2025821312,nurul.hussein@student.gmi.edu.my,Female,2004-02-04,student
Jia Yi a/p Chia,T2025380823,jia.yi.chia@tto.gmi.edu.my,Female,1982-01-05,TTO
Iqbal bin Fauzi,S2025423859,iqbal.fauzi@student.gmi.edu.my,Male,2007-01-08,student
Hana binti Basir,S2025134914,hana.basir@student.gmi.edu.my,Female,2002-03-15,student
Yee Ling a/p Goh,S2025992845,yee.ling.goh@student.gmi.edu.my,Female,2001-07-13,student
Nurin binti Latif,S2025548163,nurin.latif@student.gmi.edu.my,Female,2002-03-06,student
Zulaikha binti Ali,S2025906614,zulaikha.ali@student.gmi.edu.my,Female,2006-02-21,student
Qin Yi a/p Liew,S2025472702,qin.yi.liew@student.gmi.edu.my,Female,2002-06-07,student
Ming Jie a/l Pang,S2025752329,ming.jie.pang@student.gmi.edu.my,Male,2003-05-27,student
Yee Ling a/p Yap,S2025342247,yee.ling.yap@student.gmi.edu.my,Female,2006-03-16,student
Qin Yi a/p Tan,S2025009941,qin.yi.tan@student.gmi.edu.my,Female,2007-10-22,student
Lina binti Jamil,S2025120140,lina.jamil@student.gmi.edu.my,Female,2003-03-29,student
Wei Jian a/l Chong,S2025377809,wei.jian.chong@student.gmi.edu.my,Male,2004-02-19,student
Deepa a/p Perumal,S2025826859,deepa.perumal@student.gmi.edu.my,Female,2003-10-10,student
Farhan bin Jamal,S2025596696,farhan.jamal@student.gmi.edu.my,Male,2007-07-10,student
Ismail bin Shukri,S2025778587,ismail.shukri@student.gmi.edu.my,Male,2007-08-09,student
Zi Ying a/p Low,S2025738389,zi.ying.low@student.gmi.edu.my,Female,2005-02-18,student
Anand a/l Raman,S2025636118,anand.raman2@student.gmi.edu.my,Male,2001-06-30,student
Ai Ling a/p Chong,S2025214836,ai.ling.chong@student.gmi.edu.my,Female,2000-08-08,student
Meera a/p Perumal,S2025533795,meera.perumal@student.gmi.edu.my,Female,2005-01-07,student
Lakshmi a/p Muthu,S2025724325,lakshmi.muthu@student.gmi.edu.my,Female,2004-12-01,student
Sabrina binti Yaacob,S2025822697,sabrina.yaacob@student.gmi.edu.my,Female,2007-12-07,student
Nalini a/p Subramaniam,S2025802704,nalini.subramaniam2@student.gmi.edu.my,Female,2000-03-31,student
Qin Yi a/p Chong,S2025440586,qin.yi.chong2@student.gmi.edu.my,Female,2002-04-28,student
Wei Han a/l Phang,F2025154944,wei.han.phang@staff.gmi.edu.my,Male,1988-10-10,staff
Ismail bin Rahim,S2025295736,ismail.rahim@student.gmi.edu.my,Male,2003-03-27,student
Kai Wen a/l Yap,S2025183982,kai.wen.yap@student.gmi.edu.my,Male,2007-11-25,student
Haikal bin Ibrahim,S2025534665,haikal.ibrahim@student.gmi.edu.my,Male,2004-08-24,student
Hafiz bin Kamal,S2025978513,hafiz.kamal@student.gmi.edu.my,Male,2007-02-27,student
Umaira binti Sabri,S2025865065,umaira.sabri@student.gmi.edu.my,Female,2004-03-05,student
Faiz bin Azman,S2025592719,faiz.azman@student.gmi.edu.my,Male,2004-02-08,student
Xue Ting a/p Pang,S2025876190,xue.ting.pang2@student.gmi.edu.my,Female,2004-09-04,student
Qistina binti Abdullah,S2025606733,qistina.abdullah@student.gmi.edu.my,Female,2003-12-08,student
Lakshmi a/p Perumal,S2025359137,lakshmi.perumal3@student.gmi.edu.my,Female,2002-04-19,student
Ming Jie a/l Lee,S2025946655,ming.jie.lee2@student.gmi.edu.my,Male,2004-08-04,student
Siti binti Mansor,S2025404183,siti.mansor@student.gmi.edu.my,Female,2006-03-09,student
Mani a/l Subramaniam,S2025329695,mani.subramaniam4@student.gmi.edu.my,Male,2000-05-04,student
Zi Ying a/p Chong,F2025488581,zi.ying.chong@staff.gmi.edu.my,Female,1970-01-07,staff
Xin Yi a/p Yap,S2025840588,xin.yi.yap2@student.gmi.edu.my,Female,2005-12-14,student
Ai Ling a/p Phang,S2025766430,ai.ling.phang2@student.gmi.edu.my,Female,2001-02-24,student
Nurul binti Yusof,F2025639010,nurul.yusof@staff.gmi.edu.my,Female,1988-01-13,staff
Latifah binti Ahmad,T2025899273,latifah.ahmad@tto.gmi.edu.my,Female,1981-06-18,TTO
